KEY;FR;EN;ES;PT;IT;
menu.accueil.titre_jeu;Basket Manager;Basket Manager;Basket Manager;Basket Manager;Basket Manager;
menu.accueil.sous_titre;Bienvenue, coach ! ;Welcome, coach!;¡Bienvenido, entrenador!;Bem-vindo, treinador!;Benvenuto, coach!;
menu.accueil.bouton_creer;Créer son équipe;Create your team;Crear tu equipo;Criar sua equipe;Crea la tua squadra;
menu.accueil.bouton_reprendre;Reprendre la partie;Continue game;Reanudar partida;Continuar partida;Riprendi la partita;
menu.accueil.bouton_quitter;Quitter le jeu ;Quit game;Salir del juego;Sair do jogo;Esci dal gioco;
menu.accueil.msg_aucune_sauvegarde;Aucune partie trouvée;No save game found;Ninguna partida encontrada;Nenhuma partida encontrada;Nessuna partita trovata;
menu.accueil.msg_erreur_profil;Erreur de chargement du profil ;Profile loading error;Error al cargar el perfil;Erro ao carregar o perfil;Errore nel caricamento del profilo;
menu.accueil.selection_profil.titre;Sélectionner un profil ;Select a profile;Seleccionar un perfil;Selecionar um perfil;Seleziona un profilo;
menu.accueil.selection_profil.label;Choisissez une partie à reprendre ;Choose a game to continue;Elige una partida para reanudar;Escolha uma partida para continuar;Scegli una partita da riprendere;
menu.accueil.selection_profil.bouton_nouveau;Nouveau profil ;New profile;Nuevo perfil;Novo perfil;Nuovo profilo;
saison.titre;Saison;Season;Temporada;Temporada;Stagione;
saison.bouton_demarrer_match;Démarrer MATCH;Start GAME;Iniciar PARTIDO;Iniciar PARTIDA;Avvia PARTITA;
saison.onglet.classement;Classement;Standings;Clasificación;Classificação;Classifica;
saison.onglet.statistiques;Statistiques;Statistics;Estadísticas;Estatísticas;Statistiche;
saison.onglet.calendrier;Calendrier;Schedule;Calendario;Calendário;Calendario;
saison.prochain_match.label;Prochain match :;Next game:;Próximo partido:;Próxima partida:;Prossima partita:;
saison.prochain_match.domicile;Domicile;Home;Local;Casa;In casa;
saison.prochain_match.exterieur;Extérieur;Away;Visitante;Fora;In trasferta;
saison.prochain_match.vs;vs;vs;vs;vs;vs;
saison.prochain_match.journee;Journée {num}/{total};Gameweek {num}/{total};Jornada {num}/{total};Rodada {num}/{total};Giornata {num}/{total};
saison.prochain_match.date_heure;{date} à {heure};{date} at {heure};{date} a las {heure};{date} às {heure};{date} alle {heure};
